Fecha,Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas interesadas
2025-12-06,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-07,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-08,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-09,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-10,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-11,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-12,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-13,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-14,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-15,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-16,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-17,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-18,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-19,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-20,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-21,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-22,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-23,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-24,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-25,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,0
2025-12-26,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,529
2025-12-27,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,170
2025-12-28,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,147
2025-12-29,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,27
2025-12-30,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,6
2025-12-31,beN_-m96AyY,América Castillo analiza la agenda internacional de Kast y el debate por los “amarres” | T13 Noche,"Dec 26, 2025",597,3
